,Title,Year of release,Runtime (mins),Genres,Platform
1008,Joker,2016,129 min,"Drama: Political, World Cinema: Indian",AmazonPrime
1009,Love Story,1970,100 min,"Drama: Romance, Romance: Drama",AmazonPrime
1010,A Beautiful Mind,2001,135 min,"Drama, Drama: Biography, Drama: Historical",AmazonPrime
1011,Breakfast at Tiffany’s,1961,114 min,"Comedy, Romance",AmazonPrime
1012,New York,2009,151 min,"Bollywood: Thriller, Thriller: Crime, Thriller: Drama, World Cinema: Indian",AmazonPrime
1013,Shooter,2007,125 min,"Action/Adventure: Crime, Drama: Crime",AmazonPrime
1014,Bangistan,2015,132 min,"Bollywood: Comedy, Comedy: Crime, Comedy: Drama, World Cinema: Indian",AmazonPrime
1015,Krishnagadi Veera Prema Gaadha,2016,145 min,"Comedy: Romance, Drama: Comedy, World Cinema: Indian",AmazonPrime
1016,The Untouchables,1987,119 min,"Drama: Crime, Drama: Historical, Drama: Thriller, Thriller: Crime, Thriller: Drama",AmazonPrime
1017,Murder 3,2013,123 min,"Bollywood, Bollywood: Thriller, Thriller, Thriller: Drama, World Cinema: Indian",AmazonPrime
1018,Kabul Express,2006,104 min,"Bollywood: Action/Adventure, World Cinema: Indian",AmazonPrime
1019,Watchmen,2009,162 min,"Action/Adventure: Superheroes, Drama: Mystery",AmazonPrime
1020,Rocknrolla,2008,114 min,"Action/Adventure: Crime, Thriller: Crime",AmazonPrime
1021,Primal Fear,1996,130 min,"Drama: Crime, Drama: Mystery, Thriller: Drama",AmazonPrime
1022,Kal Ho Naa Ho,2003,187 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1023,Star Trek Into Darkness,2013,132 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien",AmazonPrime
1024,Krazzy 4,2008,109 min,"Bollywood: Comedy, Comedy: Drama, World Cinema: Indian",AmazonPrime
1025,Old School,2003,90 min,"Comedy, Comedy: Mature",AmazonPrime
1026,Siddhartha,2016,124 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1027,Pyaar Impossible,2010,140 min,"Bollywood: Comedy, Bollywood: Romance, Comedy: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1028,Police Academy,1984,96 min,Comedy: Crime,AmazonPrime
1029,Fanaa,2006,168 min,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Drama: Crime, Romance, World Cinema: Indian",AmazonPrime
1030,Payback (1999),1999,101 min,"Action/Adventure: Crime, Drama: Crime",AmazonPrime
1031,Mere Brother Ki Dulhan,2011,139 min,"Bollywood: Comedy, Bollywood: Romance, Comedy: Drama, Comedy: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1032,Star Trek (2009),2009,126 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien",AmazonPrime
1033,Darr@ The Mall,2014,115 min,"Bollywood: Horror, Bollywood: Thriller, Horror: Ghosts/Supernatural, Horror: Thriller, Thriller: Horror, World Cinema: Indian",AmazonPrime
1034,Rajadhiraja,2015,131 min,"Drama, World Cinema: Indian",AmazonPrime
1035,The English Patient,1996,161 min,"Drama: War, Drama: Romance, Romance: Drama",AmazonPrime
1036,Thoda Pyaar Thoda Magic,2008,136 min,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian",AmazonPrime
1037,Into the Storm (2014),2014,89 min,"Action/Adventure: Thriller, Thriller: Action/Adventure",AmazonPrime
1038,Transformers: Dark of the Moon,2011,154 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien, Sci-Fi/Fantasy: Sci-fi – Robots",AmazonPrime
1039,Cast Away,2000,143 min,"Action/Adventure: Epic, Drama",AmazonPrime
1040,Gori Tere Pyaar Mein,2013,144 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Comedy, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1041,Kites,2010,117 min,"Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
1042,Prem Ratan Dhan Payo,2015,163 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
1043,Mere Dad Ki Maruti,2013,101 min,"Bollywood: Comedy, Comedy: Drama, World Cinema: Indian",AmazonPrime
1044,Sweet November (2001),2001,120 min,"Drama: Romance, Romance: Drama",AmazonPrime
1045,The Godfather Part III,1990,170 min,"Drama: Crime, Drama: Historical",AmazonPrime
1046,Patiala House,2011,140 min,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, Sport: Cricket, World Cinema: Indian",AmazonPrime
1047,Transformers,2007,143 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Robots",AmazonPrime
1048,The Good Shepherd,2006,167 min,"Drama: Historical, Drama: Political, Drama: Thriller, Thriller: Drama, Thriller: Political",AmazonPrime
1049,The Sum of All Fears,2002,123 min,"Action/Adventure: Espionage & Spies, Action/Adventure: Thriller, Thriller: Action/Adventure",AmazonPrime
1050,Transformers: Revenge of the Fallen,2009,149 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",AmazonPrime
1051,Journey to the Center of the Earth (2008),2008,92 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",AmazonPrime
1052,The Firm,1993,154 min,"Drama: Mystery, Thriller: Mystery",AmazonPrime
1053,Youngistaan,2014,124 min,"Bollywood: Drama, Drama: Bollywood, Drama: Political, Drama: Romance, World Cinema: Indian",AmazonPrime
1054,Socha Na Tha,2005,137 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1055,Jannat,2008,140 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Crime, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1056,Ungli,2014,113 min,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",AmazonPrime
1057,Valentine’s Day (2010),2010,124 min,Comedy: Romance,AmazonPrime
1058,Dumb and Dumber,1994,106 min,"Comedy, Comedy: Slapstick",AmazonPrime
1059,Mr.X,2015,124 min,"Bollywood: Thriller, Sci-Fi/Fantasy: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Sci-Fi/Fantasy, World Cinema: Indian",AmazonPrime
1060,Heropanti,2014,137 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1061,The Devil Inside,2012,83 min,Horror: Ghosts/Supernatural,AmazonPrime
1062,Aaha Kalyanam,2014,141 min,"Comedy: Drama, Comedy: Romance, World Cinema: Indian",AmazonPrime
1063,Bhool Bhulaiyaa,2007,148 min,"Bollywood: Drama, Drama: Bollywood, Drama: Mystery, Thriller: Psychological, World Cinema: Indian",AmazonPrime
1064,Ishaqzaade,2012,131 min,"Action, Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian",AmazonPrime
1065,Like Crazy,2011,90 min,"Drama: Romance, Romance: Drama",AmazonPrime
1066,Ace Ventura: When Nature Calls,1995,93 min,"Comedy, Comedy: Slapstick",AmazonPrime
1067,Miss Congeniality,2000,110 min,"Comedy: Action/Adventure, Comedy: Crime, Comedy: Romance",AmazonPrime
1068,Time Please,2013,126 min,"Drama: Comedy, Drama: Romance, World Cinema: Indian",AmazonPrime
1069,Happy Journey,2014,123 min,"Drama, World Cinema: Indian",AmazonPrime
1070,Ajab Gazabb Love,2012,114 min,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Comedy: Romance, Drama: Bollywood, World Cinema: Indian",AmazonPrime
1071,How to Lose A Guy In 10 Days,2003,115 min,"Comedy, Comedy: Romance",AmazonPrime
1072,Sleepy Hollow,1999,105 min,Horror: Sci-Fi/Fantasy,AmazonPrime
1073,Aurangzeb,2013,137 min,"Bollywood, Bollywood: Action/Adventure, Bollywood: Drama, Bollywood: Thriller, Drama, World Cinema: Indian",AmazonPrime
1074,Beyond Borders,2003,126 min,"Action/Adventure, Drama, Drama: Historical, Drama: Political, Romance, Romance: Thriller",AmazonPrime
1075,The General’s Daughter,1999,116 min,"Action/Adventure: Crime, Drama: Mystery",AmazonPrime
1076,Jaane Bhi Do Yaaron,1983,137 min,"Bollywood: Comedy, Comedy: Crime, World Cinema: Indian",AmazonPrime
1077,Cloverfield,2008,84 min,"Action/Adventure: Sci-fi/Fantasy, Horror: Sci-Fi/Fantasy, Sci-Fi/Fantasy, Thriller: Sci-Fi/Fantasy",AmazonPrime
1078,Silsila,1981,180 min,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian",AmazonPrime
1079,Just Like Heaven,2005,94 min,"Comedy, Comedy: Sci-Fi/Fantasy, Romance",AmazonPrime
1080,The Longest Week,2014,86 min,"Comedy: Drama, Comedy: Romance, World Cinema: Indian",AmazonPrime
1081,Fatal Attraction,1987,119 min,"Drama, Drama: Thriller",AmazonPrime
1082,Laaga Chunari Mein Daag,2007,139 min,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
1083,Bunty Aur Babli,2005,170 min,"Bollywood: Comedy, Comedy: Crime, Comedy: Drama, Comedy: Romance, World Cinema: Indian",AmazonPrime
1084,Michael Madhana Kamarajan,1990,160 min,"Comedy: Drama, World Cinema: Indian",AmazonPrime
1085,Mujhse Dosti Karoge,2002,148 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1086,Raghu Romeo,2003,99 min,"Bollywood: Drama, Comedy: Crime, Drama: Bollywood, World Cinema: Indian",AmazonPrime
1087,Godzilla (2014),2014,123 min,"Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Horror, Sci-Fi/Fantasy: Thriller",AmazonPrime
1088,Ghosts of Girlfriends Past,2009,100 min,Comedy: Romance,AmazonPrime
1089,Jannat 2,2012,134 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Crime, Romance: Drama, World Cinema: Indian",AmazonPrime
1090,The Cider House Rules,2000,125 min,"Drama: Romance, Romance: Drama",AmazonPrime
1091,The Naked Gun 33 1/3: The Final Insult,1994,82 min,"Comedy: Crime, Comedy: Slapstick",AmazonPrime
1092,Rathi Nirvedam,2011,114 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1093,Aashiqui 2,2013,127 min,"Bollywood: Romance, Romance: Drama, Romance: Musical, World Cinema: Indian",AmazonPrime
1094,Pudhupettai,2006,170 min,"Drama: Crime, World Cinema: Indian",AmazonPrime
1095,Constantine,2005,120 min,"Action/Adventure: Crime, Action/Adventure: Thriller, Drama: Crime, Drama: Mystery",AmazonPrime
1096,Saathiya,2002,138 min,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian",AmazonPrime
1097,The Final Destination,2009,81 min,"Horror: Ghosts/Supernatural, Horror: Thriller, Thriller: Horror, Thriller: Supernatural",AmazonPrime
1098,Blow,2001,123 min,"Action/Adventure: Crime, Drama: Biography, Drama: Crime, Drama: Historical",AmazonPrime
1099,Dhoom,2004,129 min,"Action/Adventure: Crime, Bollywood: Action/Adventure, World Cinema: Indian",AmazonPrime
1100,Miss Congeniality 2: Armed and Fabulous,2005,115 min,"Comedy: Action/Adventure, Comedy: Crime",AmazonPrime
1101,1 Nenokkadine,2014,174 min,"Thriller, Thriller: Drama, Thriller: Psychological, World Cinema: Indian",AmazonPrime
1102,Don,2006,167 min,"Action/Adventure: Crime, Bollywood: Action/Adventure, World Cinema: Indian",AmazonPrime
1103,Dil To Pagal Hai,1997,179 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1104,Yogi Bear,2010,80 min,"Animated: Family, Family: Animated, Family: Comedy",AmazonPrime
1105,Mohabbatein,2000,215 min,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Drama: Romance, Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1106,Kabhi Khushi Kabhie Gham,2001,209 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
1107,Zulfiqar,2016,137 min,"Drama: Crime, World Cinema: Indian",AmazonPrime
1108,The Tuxedo,2002,98 min,"Action/Adventure: Comedy, Action/Adventure: Espionage & Spies, Action/Adventure: Martial Arts, Comedy: Action/Adventure",AmazonPrime
1109,Karthik Calling Karthik,2010,133 min,"Bollywood: Thriller, Thriller: Mystery, Thriller: Psychological, World Cinema: Indian",AmazonPrime
1110,Har Har Byomkesh,2015,108 min,"Thriller, Thriller: Mystery, World Cinema: Indian",AmazonPrime
1111,Tashan,2008,147 min,"Bollywood: Masala, World Cinema: Indian",AmazonPrime
1112,Dog Day Afternoon,1975,124 min,"Drama, Drama: Crime, Drama: Historical",AmazonPrime
1113,Paycheck (2003),2003,118 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Thriller: Mystery",AmazonPrime
1114,Rosemary’s Baby,1968,136 min,"Horror, Drama",AmazonPrime
1115,Lafangey Parindey,2010,126 min,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian",AmazonPrime
1116,I Am Kalam,2010,88 min,"Bollywood, Family: Drama, World Cinema: Indian",AmazonPrime
1117,A Cinderella Story,2004,95 min,Teen: Romance,AmazonPrime
1118,Coffee Ani Barach Kahi,2015,94 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1119,Game,2011,134 min,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Mystery, Drama: Thriller, Thriller: Crime, Thriller: Drama, World Cinema: Indian",AmazonPrime
1120,Firewall,2006,104 min,"Action/Adventure, Action/Adventure: Crime, Drama: Crime, Thriller",AmazonPrime
1121,Ninja Assassin,2009,98 min,"Action/Adventure: Crime, Action/Adventure: Martial Arts, Thriller: Action/Adventure",AmazonPrime
1122,Ready,2011,144 min,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian",AmazonPrime
1123,Indecent Proposal,1993,116 min,"Drama: Romance, Romance: Drama",AmazonPrime
1124,Must Love Dogs,2005,97 min,Comedy: Romance,AmazonPrime
1125,Final Destination 3,2006,92 min,"Horror, Horror: Ghosts/Supernatural, Horror: Thriller",AmazonPrime
1126,Teenage Mutant Ninja Turtles (2014),2014,101 min,"Action/Adventure: Crime, Action/Adventure: Sci-fi/Fantasy",AmazonPrime
1127,The Whole Nine Yards,2000,98 min,Comedy: Crime,AmazonPrime
1128,Chaar,2014,91 min,"Drama, Drama: Mystery, World Cinema: Indian",AmazonPrime
1129,You’ve Got Mail,1998,119 min,Comedy: Romance,AmazonPrime
1130,Teraa Surroor,2016,99 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Crime, Drama: Mystery, Romance: Drama, World Cinema: Indian",AmazonPrime
1131,To Catch a Thief,1955,106 min,"Drama: Romance, Romance: Thriller",AmazonPrime
1132,Ghost Ship (2002),2002,90 min,"Horror: Ghosts/Supernatural, Horror: Thriller",AmazonPrime
1133,Pilla Zamindar,2014,147 min,"Comedy: Drama, World Cinema: Indian",AmazonPrime
1134,Mardaani,2014,113 min,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",AmazonPrime
1135,Namastey London,2007,131 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1136,Dhokha,2007,121 min,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",AmazonPrime
1137,The Specialist (1994),1994,110 min,"Action/Adventure: Crime, Drama: Crime, Drama: Thriller",AmazonPrime
1138,Chashme Buddoor,1981,134 min,"Bollywood: Comedy, Bollywood: Romance, Comedy: Romance, World Cinema: Indian",AmazonPrime
1139,Lamhe,1991,187 min,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian",AmazonPrime
1140,The Lake House,2006,98 min,"Drama: Romance, Romance: Drama, Sci-Fi/Fantasy",AmazonPrime
1141,Cop Out,2010,107 min,"Comedy: Action/Adventure, Comedy: Crime",AmazonPrime
1142,Agneepath (2012),2012,173 min,"Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",AmazonPrime
1143,The Brothers Grimm,2005,118 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",AmazonPrime
1144,Alive,1993,126 min,"Action/Adventure, Drama, Drama: Biography, Drama: Historical",AmazonPrime
1145,Thalapathi,1991,156 min,"Action/Adventure: Crime, Drama: Crime, World Cinema: Indian",AmazonPrime
1146,The Spiderwick Chronicles,2008,95 min,"Family: Action/Adventure, Family: Sci-Fi/Fantasy",AmazonPrime
1147,Koi Mil Gaya,2003,164 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, Sci-Fi/Fantasy: Sci-fi – Alien, World Cinema: Indian",AmazonPrime
1148,Aaja Nachle,2007,143 min,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Music/Musical: Ballet/Dance, Romance, World Cinema: Indian",AmazonPrime
1149,Astu – So Be It,2016,123 min,"Drama, World Cinema: Indian",AmazonPrime
1150,Contact,1997,149 min,"Drama: Mystery, Sci-Fi/Fantasy: Sci-fi – Alien",AmazonPrime
1151,Dil Bole Hadippa,2009,146 min,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, Sport: Cricket, World Cinema: Indian",AmazonPrime
1152,The Hornet’s Nest,2014,96 min,Documentary: Military,AmazonPrime
1153,Paranormal Activity 4,2012,87 min,Horror,AmazonPrime
1154,Luck By Chance,2009,154 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
1155,Khatta Meetha,1981,128 min,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian",AmazonPrime
1156,Satyanweshi,2013,118 min,"Thriller, Thriller: Mystery, World Cinema: Indian",AmazonPrime
1157,Little Fockers,2010,97 min,Comedy: Drama,AmazonPrime
1158,The Usual Suspects,1995,106 min,"Drama: Crime, Drama: Mystery",AmazonPrime
1159,National Lampoon’s Vacation,1983,98 min,Comedy: Action/Adventure,AmazonPrime
1160,Tum Bin,2001,152 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1161,Chinatown,1974,130 min,"Drama, Drama: Crime, Drama: Mystery, Drama: Thriller",AmazonPrime
1162,Kuch Kuch Hota Hai,1998,185 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1163,Executive Decision,1996,132 min,Action/Adventure: Crime,AmazonPrime
1164,Geetanjali,2014,144 min,"Comedy: Drama, Horror: Comedy, World Cinema: Indian",AmazonPrime
1165,Tarkieb,2000,154 min,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Mystery, Drama: Thriller, World Cinema: Indian",AmazonPrime
1166,G.I. Joe: Retaliation,2013,110 min,"Action/Adventure, Sci-Fi/Fantasy",AmazonPrime
1167,Awarapan,2007,124 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Crime, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1168,Passenger 57,1992,83 min,"Action/Adventure: Crime, Action/Adventure: Thriller",AmazonPrime
1169,The Guilt Trip,2012,95 min,Comedy: Drama,AmazonPrime
1170,Sudden Impact,1983,117 min,"Action/Adventure: Crime, Drama: Crime",AmazonPrime
1171,Mishawr Rohoshyo,2013,144 min,"Action/Adventure, Thriller, Thriller: Action/Adventure, World Cinema: Indian",AmazonPrime
1172,Alaipayuthey,2000,140 min,"Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1173,Mere Yaar Ki Shaadi Hai,2002,159 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1174,Mad Max 2: The Road Warrior,1982,94 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Thriller",AmazonPrime
1175,Jadoogadu,2015,152 min,"Drama: Crime, Drama: Romance, World Cinema: Indian",AmazonPrime
1176,Exorcist II: The Heretic,1977,117 min,Horror: Ghosts/Supernatural,AmazonPrime
1177,Gunday,2014,152 min,"Bollywood, Bollywood: Masala, World Cinema: Indian",AmazonPrime
1178,Tropic Thunder,2008,106 min,"Action/Adventure: Comedy, Comedy: Action/Adventure",AmazonPrime
1179,Chocolat,2001,121 min,"Drama: Comedy, Drama: Romance, Romance: Drama",AmazonPrime
1180,Music and Lyrics,2007,104 min,"Comedy: Drama, Comedy: Romance, Romance: Drama",AmazonPrime
1181,Kill Dil,2014,117 min,"Bollywood: Masala, World Cinema: Indian",AmazonPrime
1182,Darr,1993,176 min,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Thriller, Drama: Romance, Thriller: Drama, World Cinema: Indian",AmazonPrime
1183,Padosan,1968,149 min,"Bollywood: Comedy, Comedy: Drama, World Cinema: Indian",AmazonPrime
1184,Raja rani,2014,163 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1185,Addicted to Love (1997),1997,100 min,Comedy: Romance,AmazonPrime
1186,Internal Affairs,1990,114 min,"Action/Adventure: Crime, Drama: Crime, Thriller: Crime",AmazonPrime
1187,Mee Shivajiraje Bhosale Boltoy,2009,148 min,"Drama, World Cinema: Indian",AmazonPrime
1188,Kelor Kirti,2016,153 min,"Comedy, Comedy: Romance, World Cinema: Indian",AmazonPrime
1189,Baadshah,2013,164 min,"Action/Adventure: Crime, Drama: Comedy, World Cinema: Indian",AmazonPrime
1190,Premachi Goshta,2013,128 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1191,Disturbia,2007,104 min,"Drama, Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Mystery",AmazonPrime
1192,The Core,2003,134 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Thriller: Action/Adventure",AmazonPrime
1193,Thupakki,2012,169 min,"Action/Adventure: Espionage & Spies, Thriller: Action/Adventure, Thriller: Crime, World Cinema: Indian",AmazonPrime
1194,Double Jeopardy (1999),1999,105 min,"Drama, Drama: Crime, Thriller: Mystery",AmazonPrime
1195,Bombay To Bangkok,2008,120 min,"Bollywood: Drama, Comedy: Crime, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian",AmazonPrime
1196,Jackie Brown,1997,154 min,"Drama: Crime, Thriller: Crime",AmazonPrime
1197,Cold Mountain,2003,154 min,"Action/Adventure: Historical, Action/Adventure: War, Drama: Historical, Drama: War, Drama: Romance",AmazonPrime
1198,Event Horizon,1997,95 min,"Action/Adventure: Sci-fi/Fantasy, Horror: Sci-Fi/Fantasy, Horror: Thriller",AmazonPrime
1199,22 Shey Shraban,2011,139 min,"Drama, Drama: Mystery, Thriller, Thriller: Psychological, World Cinema: Indian",AmazonPrime
1200,Meet the Fockers,2004,115 min,Comedy,AmazonPrime
1201,Chaar Sahibzaade,2014,122 min,"Animated, Drama: Biography, Drama: Historical, Drama: War, World Cinema: Indian",AmazonPrime
1202,Hum Aapke Hain Koun…!,1994,193 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Musical, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1203,The Score,2001,124 min,"Drama: Crime, Thriller: Crime",AmazonPrime
1204,The Hours,2003,114 min,"Drama: Period, Drama: Romance",AmazonPrime
1205,Atharintiki Daaredi,2013,174 min,"Drama, World Cinema: Indian",AmazonPrime
1206,The Faculty,1998,104 min,"Horror: Sci-Fi/Fantasy, Thriller: Sci-Fi/Fantasy",AmazonPrime
1207,Kuch Luv Jaisa,2011,102 min,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",AmazonPrime
1208,Kaal,2005,125 min,"Bollywood: Thriller, Thriller: Mystery, World Cinema: Indian",AmazonPrime
1209,Arya 2,2009,162 min,"Comedy, Drama, Romance, World Cinema: Indian",AmazonPrime
1210,Krrish 3,2013,145 min,"Action/Adventure: Sci-fi/Fantasy, Action/Adventure: Superheroes, Bollywood: Action/Adventure, Sci-Fi/Fantasy: Action/Adventure, World Cinema: Indian",AmazonPrime
1211,Last Man Standing (1996),1996,101 min,"Action/Adventure: Crime, Drama: Crime, Western",AmazonPrime
1212,Anbe sivam,2003,159 min,"Drama, Drama: Romance, World Cinema: Indian",AmazonPrime
1213,Dreamcatcher (2003),2003,133 min,"Horror, Sci-Fi/Fantasy: Horror, Thriller: Mystery",AmazonPrime
1214,Addams Family Values,1993,94 min,"Comedy, Comedy: Slapstick, Family: Comedy",AmazonPrime
1215,Mumbai Pune Mumbai 01,2010,102 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1216,Kaydyacha Bola,2005,133 min,"Comedy: Drama, Drama: Comedy, World Cinema: Indian",AmazonPrime
1217,Vanilla Sky,2001,135 min,"Drama: Thriller, Drama: Romance, Thriller: Mystery, Thriller: Psychological",AmazonPrime
1218,Terms of Endearment,1983,131 min,Drama: Comedy,AmazonPrime
1219,Coat of Many Colors,2015,85 min,"Drama: Biography, Drama: Family, Drama: Musical, Family: Drama, Music/Musical: Music – Country",AmazonPrime
1220,Obhishopto Nighty,2014,111 min,"Comedy: Mature, Drama: Mature, Thriller, World Cinema: Indian",AmazonPrime
1221,Love Express,2016,146 min,"Drama: Comedy, Drama: Romance, World Cinema: Indian",AmazonPrime
1222,54,1998,92 min,"Drama, Drama: Historical, LGBTQ, LGBTQ: Drama",AmazonPrime
1223,Hum Saath Saath Hain,1999,176 min,"Bollywood: Drama, Drama: Bollywood, Drama: Musical, World Cinema: Indian",AmazonPrime
1224,Vivah,2006,166 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1225,Abhay,1995,127 min,"Bollywood, Bollywood: Comedy, Horror, Horror: Comedy, World Cinema: Indian",AmazonPrime
1226,The Bridges of Madison County,1995,134 min,"Drama: Romance, Romance: Drama",AmazonPrime
1227,Nayagan,1987,156 min,"Drama, Drama: Crime, World Cinema: Indian",AmazonPrime
1228,Carriers,2009,84 min,"Horror: Sci-Fi/Fantasy, Horror: Zombies, Sci-Fi/Fantasy: Action/Adventure",AmazonPrime
1229,Murder 2,2011,126 min,"Bollywood, Bollywood: Thriller, Horror: Slasher, Thriller, World Cinema: Indian",AmazonPrime
