Name,IMDB Rating,Duration,Year,Age,Genres
Crook,5,119 min,2010,NR,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Crime, Drama: Mystery, Drama: Romance, World Cinema: Indian"
Yoddha,,131 min,2013,All Ages,"Action/Adventure: Crime, Action/Adventure: Espionage & Spies, Drama: Crime, World Cinema: Indian"
Mr. X in Bombay,7.1,132 min,1964,All Ages,"Bollywood: Drama, Drama: Bollywood, Sci-Fi/Fantasy: Comedy, World Cinema: Indian"
Maya Bazaar,5.4,133 min,2012,18+,"Drama, World Cinema: Indian"
The Towering Inferno,6.9,164 min,1974,7+,"Action/Adventure, Drama"
Samurai,6.3,178 min,2002,13+,"Drama, Drama: Crime, World Cinema: Indian"
Antardwand,7.2,104 min,2010,NR,"Bollywood: Drama, Drama: Bollywood, Drama: Historical, World Cinema: Indian"
Joggers Park,6.3,133 min,2003,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Majnu,6.2,126 min,2013,All Ages,"Drama: Comedy, Romance: Drama, World Cinema: Indian"
The Judge (2014),7.4,141 min,2014,18+,Drama
Chandamama,7,142 min,2007,All Ages,"Drama: Comedy, Drama: Romance, Romance, World Cinema: Indian"
Lakshyam,6.4,157 min,2007,13+,"Drama, Drama: Crime, World Cinema: Indian"
Gemini,6.2,156 min,2002,All Ages,"Action/Adventure: Crime, Drama: Crime, Drama: Romance, World Cinema: Indian"
Sakalakala Vallavan,6.8,137 min,1982,All Ages,"Drama, World Cinema: Indian"
Chakram,5.9,150 min,2005,18+,"Drama: Romance, World Cinema: Indian"
Beauty and the Beast.,6.3,93 min,1987,All Ages,"Drama, Drama: Romance"
Sasu Numbri Jawai Dus Numbri,5.5,137 min,2008,All Ages,"Comedy: Drama, Drama: Comedy, World Cinema: Indian"
Doosukeltha,6.3,161 min,2013,18+,"Comedy: Drama, Drama: Romance, World Cinema: Indian"
Kati Patang,7.2,148 min,All Ages,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
The Kite Runner,7.6,127 min,2007,13+,Drama
Sakhi,7.4,152 min,2008,All Ages,"Drama, World Cinema: Indian"
Antareen,7.5,87 min,1993,All Ages,"Drama: Romance, World Cinema: Indian"
Amarkalam,7.3,148 min,1999,All Ages,"Drama, Drama: Romance, World Cinema: Indian"
Waqt – The Race Against Time,7,147 min,2005,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Challenge – 2,5.6,154 min,2010,13+,"Action/Adventure: Crime, Drama: Comedy, World Cinema: Indian"
Aashayein,7.1,115 min,2010,13+,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Premer Kahini,6.2,150 min,2008,All Ages,"Drama, Romance, World Cinema: Indian"
Jau Tithe Khau,6.9,130 min,2007,All Ages,"Drama: Comedy, Drama: Political, World Cinema: Indian"
Loveria,5.4,141 min,2013,All Ages,"Drama, Drama: Comedy, Drama: Romance, World Cinema: Indian"
Ek Cup Chya,7.7,113 min,2009,All Ages,"Drama: Political, World Cinema: Indian"
Jaya Ganga,7.3,79 min,1996,18+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
